Starting pid: 20256@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:128466 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:129208 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(111 ms)
start:130063 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:130817 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:131610 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(74 ms)
start:132372 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:133115 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:133840 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(83 ms)
start:134499 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(82 ms)
start:135178 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(83 ms)
start:135858 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(82 ms)
start:137862 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(123 ms)
start:138805 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:139839 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:140784 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(82 ms)
start:141912 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(118 ms)
start:143114 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(112 ms)
start:144396 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(113 ms)
start:146466 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(118 ms)
start:147923 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(124 ms)
start:149184 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(117 ms)
start:150230 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(111 ms)
start:151328 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(333 ms)
start:151661 Name:MarkSweepCompact, action:end of major GC, gcCause:Allocation Failure(522 ms)
start:152895 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(46 ms)
start:153693 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(59 ms)
start:154419 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(81 ms)
start:155206 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(102 ms)
start:155979 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(85 ms)
start:156752 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(85 ms)
start:157538 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:158327 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:159102 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(108 ms)
start:159889 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:160660 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(80 ms)
start:161443 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(81 ms)
start:162201 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:163001 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:163757 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(85 ms)
start:164532 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:165344 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:166183 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(113 ms)
start:167040 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(107 ms)
start:167824 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(79 ms)
start:168597 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(80 ms)
